,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
22468,4ca5c8_29882,36824.83823529412,1316.470622934395,445.8305972507676,62311.66635772027
22469,4ca63b_30138,37728.55537392726,1515.9862599357946,435.6319583673812,60576.15578073329
22470,4ca63b_30140,36240.91819221968,1212.5499115093744,450.4338747630475,63475.88942620781
22471,4ca63b_30141,36987.97760210804,1463.2756788284837,434.4469074432985,62188.3416086919
22472,4ca640_30161,36883.67839889579,1215.365572395379,450.8530393456059,62003.02822724711
22473,4ca6c4_30416,36977.95893719807,1068.457674633889,452.3871559177141,61534.37486508209
22474,4ca6c4_30417,35749.95883644347,1291.520620954658,453.7622357504387,64740.0044758429
22475,4ca719_30615,36872.94642857143,1270.2114133748105,446.731153241044,62121.74560542166
22476,4ca719_30616,37531.74925245622,1585.4585235252207,435.8747937180367,61147.73297611989
22477,4ca759_30794,38011.58600736455,1377.4178015498403,436.20303229779057,59687.870527079634
22478,4ca770_30989,35632.004704652376,1297.3045073313133,448.4013101756987,65021.09570564702
22479,4ca770_30992,36231.38052617304,1048.7562415536167,437.3126263109137,63216.957210133245
22480,4ca783_30994,38182.305389221554,1005.3399412881444,445.9585065294889,58657.38445514401
22481,4ca798_31031,37022.70114942529,1404.4946449067186,450.5337180794226,62007.72048482498
22482,4ca7d7_31131,37898.26388888889,1197.1521855058438,439.6310056739937,59639.29145512523
22483,4ca7d7_31132,37441.59549689441,1002.4876659129166,426.8606904339255,60355.36668869096
22484,4ca82e_31481,37828.43173431735,1078.2883273178488,435.9070146595901,59596.01643680541
22485,4ca836_31506,37992.61565836299,925.0345277765142,445.6203027827879,58955.77558409402
22486,4ca837_31522,34868.61878453039,854.8725664509105,448.6734550582525,66017.4567649505
22487,4ca837_31523,36000.36256906077,1097.5598001943172,439.0559248081347,63831.74565084283
22488,4ca90a_32343,33837.73399014778,939.2996486224772,440.00019131219625,68532.20267638205
22489,4ca92d_32427,36936.5099009901,1553.3161086567688,449.1055641199369,62461.05799249554
22490,4ca92d_32429,37684.57278481012,884.076370256865,444.90896623457616,59593.72679071079
22491,4ca92d_32433,35987.609542356375,876.9883645447894,461.2650465324557,63482.84791759483
22492,4ca935_32446,35568.532934131734,852.1075056699082,435.9267861220149,64403.63078181422
22493,4ca935_32447,37928.80757800891,1112.3091661049036,443.6119960585733,59423.59090387625
22494,4ca947_32462,34904.205145118736,1840.7343456767949,435.0304428428926,67626.11422604743
22495,4d2026_33925,37879.42307692308,1225.595844506434,440.5066800560711,59731.37869898153
22496,4d2027_33930,36982.39348370928,1773.7875915566106,437.0625766631264,62733.61803600949
22497,4d2027_33931,36000.91494845361,1437.4437394836727,442.3538978739567,64413.27901031774
