,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
172,ac1-161,36995.340311173975,2016.1486435143036,70887.41663208009,63648.08229980469,445.9638878515146,0.76,37014.0
173,ac2-343,37938.94549379385,1266.816269544735,64573.41074829102,59892.3374206543,443.98311490780753,0.7599999999999999,37960.0
174,ac2-363,36998.966730038024,1490.8912505895132,67984.42542114257,62523.17320556641,445.86187743511795,0.7600076045627375,37016.0
175,ac2-294,36000.74070981211,1546.1121269646262,61561.557366943365,56263.598406982426,435.94587971029574,0.7596192066805845,36022.0
176,ac2-302,37494.469767441864,1327.8045704301535,63775.0881652832,58894.434191894536,438.6697809453701,0.72,37950.0
177,ac2-187,34400.472844663884,2900.9255959818165,72665.4987487793,62178.44299926758,442.49785324232124,0.7600030383592858,35012.0
178,ac1-515,36996.861764705885,1128.4230151785,65462.45180664063,61107.96499023438,444.21549828517857,0.6799999999999999,37010.0
179,ac2-192,33002.67542503864,1061.8060056037364,69689.93275756836,65262.87116088867,440.9862775623697,0.656,33022.0
180,ac1-149,36487.92727272727,2776.9061308058454,66260.77438964845,57098.20838012696,443.4012120405789,0.0,37014.0
181,ac2-221,30006.0,905.120921114002,61144.2523803711,57461.08228149415,403.02590081129773,0.648,30006.0
182,ac2-116,36000.86577437859,1726.4798752399506,68456.16149291993,62142.15560913086,441.15291677405565,0.7279999999999999,36016.0
183,ac1-384,33427.33862433863,1072.3498423371962,60890.24064941406,56771.62186889648,426.5471442330326,0.7599999999999998,34006.0
185,ac2-352,37000.452393857275,2950.756075327069,65262.87116088867,55646.71277465821,441.8474877021345,0.7502655826558264,37018.0
186,ac1-332,35958.15403726708,2056.127950892914,62577.60429077149,55846.29342041016,433.91059033554103,0.76,36010.0
187,ac1-592,35999.07188940092,1555.354955833022,61906.28757324219,56553.89752807618,441.7672013048749,0.7655520737327187,36010.0
188,ac1-408,38001.28220402085,1242.181958952053,60817.66586914063,56390.60427246094,440.22344197593634,0.7769352196574832,38010.0
190,ac2-191,36001.44568747745,1755.7483894033496,63140.05883789063,57207.07055053711,438.4531649512089,0.7679999999999999,36014.0
192,ac2-380,37946.91473448018,1581.2617914186285,63176.34622802734,57751.3814025879,442.3079543623385,0.7359999999999999,37968.0
193,ac1-442,33999.63877457705,1478.1714514295954,56553.89752807618,51528.09399414063,436.25701283593713,0.7182697759487882,34018.0
194,ac2-097,36943.06888888889,2961.1316257750973,66460.3550354004,56590.18491821289,450.62392369439664,0.7765724444444443,36954.0
196,ac1-096,33999.11924756466,1761.4411255248976,59583.89460449219,53451.32567138672,431.68351242159827,0.7540369499496137,34014.0
197,ac2-026,36946.84824757643,3134.1312796588586,65662.03245239258,55592.28168945313,444.3711158535615,0.7599194630872482,36962.0
199,ac2-190,36946.98924731183,1694.4929039410154,69227.2685333252,63140.05883789063,442.3651022993041,0.5900967741935483,36958.0
201,ac2-436,36581.03703703704,969.7246453888692,61507.12628173828,57715.09401245117,438.99298305172465,0.7525608465608464,38014.0
202,ac2-368,37944.858410351204,1758.491072838353,62124.0119140625,56354.316882324216,441.3778409029851,0.7599822550831793,37962.0
204,ac1-274,33999.57711442786,1015.6084337834576,65825.32570800782,61779.28170776367,442.0611329457189,0.7839999999999999,34012.0
205,ac2-058,33001.806217198224,1747.4837845761522,66569.21720581055,60273.355017089845,438.00202588332456,0.7439999999999998,33010.0
206,ac1-282,36845.452232046584,2467.676818307473,61216.82716064453,53034.02068481446,431.5088817169173,0.7679999999999999,38010.0
207,ac2-405,35999.49315068493,909.5421933112888,61162.39607543946,57043.77729492188,435.78692620112844,0.6479999999999999,36014.0
208,ac1-452,30012.45006016847,1360.3039080884853,58858.146801757815,53542.04414672852,407.8964782566676,0.6937376654632971,30022.0
209,ac2-176,33000.672454617204,1068.7538676954323,69798.79492797851,65408.02072143555,442.2126902997827,0.7359999999999999,33010.0
210,ac2-279,37000.06475903615,1060.222566094042,63521.076434326176,59475.03243408203,444.43584245986375,0.7359999999999999,37022.0
211,ac1-250,38000.55140186916,1569.8439181824722,60962.8154296875,55701.14385986329,436.78678802679497,0.7480716510903426,38016.0
212,ac1-309,32999.74351145038,1466.4191951712232,64718.5603088379,59257.30809326172,439.1961221815154,0.6354605597964376,33022.0
213,ac1-200,38000.35400797969,1737.7482001155704,59257.30809326172,53542.04414672852,437.93183293038425,0.0,38010.0
214,ac1-365,36000.6147966148,2497.4231285282635,67349.39609375,58694.85354614258,444.37024578597476,0.7723396123396123,36014.0
215,ac2-141,32950.56313993174,2823.756626437135,69907.65709838868,59021.440057373045,438.22191402538215,0.7599965870307166,32966.0
216,ac2-238,37911.865971705134,1011.0345687333324,57860.24357299805,54195.217169189455,436.2376410946673,0.7599999999999999,37954.0
217,ac1-560,37999.19986048134,1869.5839278241708,61488.982586669925,55265.69517822266,444.30191367373334,0.7679999999999999,38014.0
219,ac2-253,36341.85086206897,1472.45078164219,68147.71867675781,62704.61015625,444.0178236562403,0.7441931034482757,37018.0
220,ac2-136,37940.360524814605,1419.8677911931773,65480.59550170899,60273.355017089845,444.7455306745333,0.38368511123787785,37954.0
221,ac1-129,34999.69259259259,1273.349508941396,67294.96500854492,62450.59842529298,440.91069600764325,0.736,35010.0
222,ac2-081,34001.0706190061,1527.498404391936,62251.01777954101,56753.47817382812,424.3100383538134,0.7599999999999998,34022.0
223,ac1-369,37997.314794215796,1815.4516638282912,64881.85356445313,58422.6981201172,439.8870586654178,0.7732473118279569,38010.0
224,ac1-457,36683.137880377755,2566.4368441729894,65952.33157348633,57370.363806152345,440.82325142072915,0.7679999999999999,39006.0
225,ac2-454,35782.60058309038,975.6021237556744,58622.27876586914,54830.24649658203,436.67911950879903,0.7360000000000001,36014.0
226,ac2-452,37944.192307692305,1663.8421383042148,63303.35209350586,57660.66292724609,442.2275565922056,0.7599999999999998,37962.0
227,ac2-268,37728.51282051282,949.9641497126034,58204.97377929688,54630.66585083008,433.33449402955847,0.7759999999999999,38008.0
229,ac2-126,35998.86526479751,2926.4678638535,71613.16443481445,61380.12041625977,438.3504923529781,0.7599999999999999,36018.0
230,ac2-229,36995.50465243569,1995.94300413295,71105.1409729004,64010.95620117187,446.3284093567662,0.7279999999999999,37018.0
231,ac1-264,34177.21867823425,2532.1773292930984,69381.48994140625,60309.642407226565,438.0661679763396,0.7200000000000001,35006.0
232,ac2-476,36947.810083396515,2983.563079230087,64555.26705322266,54920.96497192383,440.2384360403646,0.7598332069749809,36964.0
233,ac1-257,37050.48079957917,1253.9140797316757,59665.5412322998,55483.419519042975,442.97037456605364,0.7759999999999998,38994.0
234,ac1-563,37000.51301427372,1676.411823670201,64718.5603088379,58785.572021484375,442.54953626311254,0.7600537363560033,37018.0
235,ac2-273,32954.05039370079,1061.0397014817995,66043.05004882812,61561.557366943365,421.27354506376673,0.6799999999999999,32966.0
236,ac1-291,37001.59970993474,1114.6824386646413,68964.184954834,64537.12335815429,447.6129197769986,0.696,37014.0
